Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
=94,Catholic University of Brasília,Brazil,37.0,42.7,39.5,26.2,20.9,35.9
99,Federal University of Itajubá,Brazil,35.5,36.2,37.1,37.3,25.9,26.4
101–125,Ceará State University,Brazil,29.3–35.3,39.6,32.5,18.6,18.5,19.0
101–125,Federal University of Mato Grosso do Sul,Brazil,29.3–35.3,32.2,31.2,43.2,35.9,28.1
101–125,Mackenzie Presbyterian University,Brazil,29.3–35.3,38.7,37.0,19.7,24.6,27.3
101–125,Pontifical Catholic University of Minas Gerais,Brazil,29.3–35.3,36.4,32.4,23.9,20.0,22.9
101–125,State University of Ponta Grossa,Brazil,29.3–35.3,39.2,33.6,33.9,19.0,24.6
101–125,State University of Santa Cruz,Brazil,29.3–35.3,31.2,28.1,28.7,19.6,39.2
101–125,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,29.3–35.3,43.4,29.3,16.0,18.0,19.7
101–125,Universidade Federal de Sergipe,Brazil,29.3–35.3,30.9,37.2,32.7,21.2,26.7
101–125,Universidade Federal do Maranhão (UFMA),Brazil,29.3–35.3,30.2,33.1,27.7,25.6,21.0
101–125,University of Passo Fundo (UPF),Brazil,29.3–35.3,30.7,32.0,44.6,18.3,25.4
126–150,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),Brazil,24.7–29.1,21.1,28.1,33.9,17.6,28.7
126–150,Universidade Federal da Grande Dourados,Brazil,24.7–29.1,33.3,25.4,17.6,19.3,21.6
126–150,University of Fortaleza (UNIFOR),Brazil,24.7–29.1,26.8,23.5,28.2,17.7,30.5
126–150,University of Pernambuco,Brazil,24.7–29.1,26.5,32.3,27.7,18.9,23.2
126–150,University of Vale do Itajaí,Brazil,24.7–29.1,25.7,30.4,26.5,18.6,30.9
151+,Federal Institute of Education Science and Technology of São Paulo,Brazil,13.2–24.5,35.1,15.8,10.5,16.2,20.2
151+,Positivo University,Brazil,13.2–24.5,24.3,15.0,15.5,16.6,26.3
151+,State University of Bahia,Brazil,13.2–24.5,28.0,17.8,9.5,16.8,19.0
151+,UNESC,Brazil,13.2–24.5,21.5,15.2,27.5,21.7,27.6
151+,Unichristus,Brazil,13.2–24.5,22.9,13.2,9.9,16.0,19.1
151+,Universidade Estadual de Feira de Santana (UEFS),Brazil,13.2–24.5,28.2,20.6,22.6,17.7,24.6
151+,Universidade Estadual do Maranhão,Brazil,13.2–24.5,22.1,21.4,12.7,15.9,20.4
151+,Universidade Federal Rural do Semi-Arido,Brazil,13.2–24.5,26.8,20.5,11.5,16.7,17.7
151+,Universidade Nove de Julho (Uninove),Brazil,13.2–24.5,19.9,15.4,17.3,17.9,25.8
151+,University of Caxias do Sul,Brazil,13.2–24.5,28.0,23.3,21.5,21.3,21.3
151+,University of Franca,Brazil,13.2–24.5,20.5,21.1,12.4,17.0,19.0
151+,University of Western São Paulo (UNOESTE),Brazil,13.2–24.5,23.1,13.2,20.0,16.4,18.2
151+,Vila Velha University,Brazil,13.2–24.5,23.7,22.5,18.5,16.0,20.4
